track_name;artist(s)_name;artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;streams;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;bpm;key;mode;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd, Madonna, Playboi Carti;3.00;2023.00;6.00;2.00;1945.00;87.00;115364561.00;74.00;182.00;87.00;14.00;1093.00;99.00;C#;Major;85.00;83.00;68.00;7.00;0.00;36.00;20.00
SABOR FRESA;Fuerza Regida;1.00;2023.00;6.00;22.00;250.00;26.00;78300654.00;16.00;149.00;10.00;5.00;168.00;130.00;G;Minor;79.00;96.00;86.00;9.00;0.00;9.00;9.00
Calm Down (with Selena Gomez);Rï¿½ï¿½ma, Selena G;2.00;2022.00;3.00;25.00;7112.00;77.00;899183384.00;202.00;119.00;318.00;38.00;96.00;107.00;B;Major;80.00;82.00;80.00;43.00;0.00;14.00;4.00
MOJABI GHOST;Tainy, Bad Bunny;2.00;2023.00;6.00;29.00;859.00;40.00;61245289.00;35.00;109.00;41.00;14.00;211.00;122.00;F#;Minor;81.00;74.00;71.00;14.00;0.00;56.00;4.00
Last Night;Morgan Wallen;1.00;2023.00;1.00;31.00;2420.00;19.00;429829812.00;52.00;107.00;15.00;1.00;325.00;204.00;F#;Major;52.00;52.00;68.00;46.00;0.00;15.00;4.00
Dance The Night (From Barbie The Album);Dua Lipa;1.00;2023.00;5.00;25.00;2988.00;101.00;127408954.00;0.00;0.00;143.00;38.00;0.00;110.00;B;Minor;67.00;78.00;85.00;2.00;0.00;33.00;5.00
Rush;Troye Sivan;1.00;2023.00;7.00;13.00;864.00;78.00;22581161.00;71.00;135.00;50.00;1.00;294.00;126.00;F;Minor;74.00;35.00;84.00;0.00;0.00;11.00;6.00
TULUM;Peso Pluma, Grupo Frontera;2.00;2023.00;6.00;28.00;266.00;34.00;52294266.00;20.00;185.00;13.00;8.00;197.00;168.00;F#;Major;56.00;63.00;87.00;39.00;0.00;11.00;5.00
Creepin';The Weeknd, 21 Savage, Metro Boomin;3.00;2022.00;12.00;2.00;6036.00;88.00;843957510.00;113.00;149.00;245.00;23.00;27.00;98.00;C#;Minor;71.00;17.00;61.00;36.00;0.00;8.00;5.00
Anti-Hero;Taylor Swift;1.00;2022.00;10.00;21.00;9082.00;56.00;999748277.00;242.00;142.00;165.00;9.00;310.00;97.00;E;Major;64.00;51.00;63.00;12.00;0.00;19.00;5.00
TQG;Karol G, Shakira;2.00;2023.00;2.00;23.00;4284.00;49.00;618990393.00;115.00;123.00;184.00;18.00;354.00;180.00;E;Minor;72.00;61.00;63.00;67.00;0.00;9.00;28.00
Los del Espacio;Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk;8.00;2023.00;6.00;1.00;1150.00;31.00;123122413.00;22.00;33.00;34.00;7.00;184.00;120.00;0;Major;81.00;63.00;68.00;11.00;0.00;11.00;4.00
Frï¿½ï¿½gil (feat. Grupo Front;Yahritza Y Su Esencia, Grupo Frontera;2.00;2023.00;4.00;7.00;672.00;34.00;188933502.00;19.00;108.00;24.00;9.00;212.00;150.00;F#;Major;61.00;39.00;73.00;37.00;0.00;11.00;3.00
Blank Space;Taylor Swift;1.00;2014.00;1.00;1.00;11434.00;53.00;1355959075.00;154.00;123.00;410.00;2.00;81.00;96.00;F;Major;75.00;57.00;68.00;9.00;0.00;13.00;6.00
Style;Taylor Swift;1.00;2014.00;1.00;1.00;7830.00;42.00;786181836.00;94.00;111.00;151.00;4.00;82.00;95.00;D;Major;60.00;48.00;79.00;0.00;0.00;12.00;4.00
TQM;Fuerza Regida;1.00;2023.00;5.00;19.00;584.00;28.00;176553476.00;16.00;159.00;15.00;6.00;100.00;125.00;F;Minor;79.00;96.00;85.00;27.00;0.00;11.00;6.00
El Azul;Junior H, Peso Pluma;2.00;2023.00;2.00;10.00;692.00;25.00;354495408.00;10.00;107.00;6.00;3.00;62.00;144.00;A;Minor;56.00;84.00;65.00;23.00;0.00;10.00;6.00
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;2.00;2018.00;10.00;9.00;24094.00;78.00;2808096550.00;372.00;117.00;843.00;4.00;69.00;90.00;D;Major;76.00;91.00;50.00;54.00;0.00;7.00;5.00
I'm Good (Blue);Bebe Rexha, David Guetta;2.00;2022.00;8.00;26.00;12482.00;80.00;1109433169.00;291.00;184.00;537.00;45.00;727.00;128.00;G;Minor;56.00;38.00;97.00;4.00;0.00;35.00;4.00
See You Again;Tyler, The Creator, Kali Uchis;3.00;2017.00;7.00;21.00;13387.00;64.00;1047101291.00;77.00;58.00;247.00;1.00;311.00;79.00;F#;Major;56.00;58.00;56.00;37.00;0.00;11.00;10.00
Barbie World (with Aqua) [From Barbie The Album];Nicki Minaj, Aqua, Ice Spice;3.00;2023.00;6.00;23.00;1117.00;80.00;65156199.00;82.00;145.00;65.00;16.00;1133.00;144.00;0;Major;77.00;75.00;58.00;52.00;0.00;23.00;25.00
Angels Like You;Miley Cyrus;1.00;2020.00;11.00;27.00;3372.00;19.00;570515054.00;65.00;48.00;138.00;1.00;102.00;122.00;F;Major;67.00;49.00;64.00;10.00;0.00;10.00;3.00
I Ain't Worried;OneRepublic;1.00;2022.00;5.00;13.00;8431.00;76.00;1085685420.00;241.00;127.00;458.00;37.00;332.00;140.00;0;Major;71.00;82.00;81.00;11.00;0.00;6.00;5.00
Die For You;The Weeknd;1.00;2016.00;11.00;24.00;2483.00;59.00;1647990401.00;68.00;21.00;24.00;0.00;259.00;134.00;C#;Minor;59.00;51.00;52.00;9.00;0.00;15.00;7.00
Starboy;The Weeknd, Daft Punk;2.00;2016.00;9.00;21.00;29536.00;79.00;2565529693.00;281.00;137.00;2445.00;1.00;140.00;186.00;G;Major;68.00;49.00;59.00;16.00;0.00;13.00;28.00
Die For You - Remix;Ariana Grande, The Weeknd;2.00;2023.00;2.00;24.00;3408.00;47.00;518745108.00;87.00;86.00;74.00;1.00;16.00;67.00;C#;Minor;53.00;50.00;53.00;23.00;0.00;44.00;7.00
El Cielo;Feid, Myke Towers, Sky Rompiendo;3.00;2023.00;6.00;2.00;1298.00;38.00;107753850.00;44.00;64.00;57.00;10.00;110.00;106.00;A#;Minor;72.00;17.00;64.00;7.00;0.00;10.00;5.00
Baby Don't Hurt Me;David Guetta, Anne-Marie, Coi Leray;3.00;2023.00;4.00;6.00;4277.00;66.00;177740666.00;145.00;111.00;213.00;11.00;810.00;128.00;G;Major;60.00;23.00;91.00;0.00;0.00;12.00;3.00
AMARGURA;Karol G;1.00;2023.00;2.00;24.00;1133.00;39.00;153372011.00;14.00;71.00;23.00;10.00;176.00;107.00;F#;Minor;92.00;55.00;70.00;18.00;0.00;15.00;7.00
(It Goes Like) Nanana - Edit;Peggy Gou;1.00;2023.00;6.00;15.00;2259.00;59.00;57876440.00;0.00;0.00;109.00;17.00;0.00;130.00;G;Minor;67.00;96.00;88.00;12.00;19.00;8.00;4.00
Another Love;Tom Odell;1.00;2012.00;10.00;15.00;18371.00;83.00;1813673666.00;250.00;122.00;3394.00;19.00;0.00;123.00;E;Minor;45.00;13.00;54.00;70.00;0.00;9.00;4.00
Blinding Lights;The Weeknd;1.00;2019.00;11.00;29.00;43899.00;69.00;3703895074.00;672.00;199.00;3421.00;20.00;0.00;171.00;C#;Major;50.00;38.00;80.00;0.00;0.00;9.00;7.00
Moonlight;Kali Uchis;1.00;2023.00;2.00;24.00;2649.00;42.00;256483385.00;67.00;79.00;57.00;1.00;615.00;137.00;G;Minor;64.00;88.00;72.00;51.00;0.00;17.00;5.00
La Bachata;Manuel Turizo;1.00;2022.00;5.00;26.00;6804.00;45.00;1214083358.00;139.00;111.00;161.00;15.00;210.00;125.00;G;Minor;84.00;85.00;68.00;58.00;0.00;22.00;4.00
S91;Karol G;1.00;2023.00;7.00;14.00;525.00;41.00;16011326.00;34.00;115.00;39.00;6.00;216.00;128.00;0;Minor;86.00;42.00;72.00;59.00;0.00;9.00;19.00
cardigan;Taylor Swift;1.00;2020.00;7.00;24.00;7923.00;29.00;812019557.00;106.00;112.00;142.00;4.00;215.00;130.00;0;Minor;61.00;53.00;58.00;55.00;0.00;27.00;4.00
Tï¿½ï¿;dennis, MC Kevin o Chris;2.00;2023.00;5.00;4.00;731.00;15.00;111947664.00;27.00;17.00;73.00;4.00;167.00;130.00;B;Major;86.00;59.00;96.00;50.00;1.00;9.00;5.00
Boy's a liar Pt. 2;PinkPantheress, Ice Spice;2.00;2023.00;2.00;3.00;5184.00;41.00;156338624.00;154.00;84.00;102.00;14.00;37.00;133.00;F;Major;70.00;86.00;81.00;25.00;0.00;25.00;5.00
Left and Right (Feat. Jung Kook of BTS);Charlie Puth, BTS, Jung Kook;3.00;2022.00;6.00;24.00;3107.00;39.00;720434240.00;38.00;0.00;4.00;0.00;0.00;101.00;D;Major;88.00;72.00;59.00;62.00;0.00;9.00;3.00
BESO;Rauw Alejandro, ROSALï¿½;2.00;2023.00;3.00;24.00;4053.00;50.00;357925728.00;82.00;121.00;182.00;12.00;171.00;95.00;F;Minor;77.00;53.00;64.00;74.00;0.00;17.00;14.00
Hey Mor;Ozuna, Feid;2.00;2022.00;10.00;6.00;4637.00;38.00;674072710.00;63.00;79.00;89.00;11.00;16.00;98.00;C#;Minor;90.00;40.00;59.00;0.00;0.00;10.00;29.00
Yellow;Chris Molitor;1.00;1999.00;1.00;1.00;31358.00;43.00;1755214421.00;196.00;2.00;4053.00;5.00;0.00;173.00;B;Major;43.00;28.00;66.00;0.00;0.00;23.00;3.00
Karma;Taylor Swift;1.00;2022.00;10.00;21.00;3818.00;23.00;404562836.00;37.00;55.00;32.00;0.00;272.00;90.00;G#;Major;64.00;10.00;62.00;7.00;0.00;48.00;7.00
People;Libianca;1.00;2022.00;12.00;2.00;3506.00;56.00;373199958.00;105.00;64.00;169.00;8.00;529.00;198.00;A#;Minor;59.00;71.00;42.00;55.00;0.00;10.00;7.00
Overdrive;Post Malone;1.00;2023.00;7.00;14.00;410.00;36.00;14780425.00;36.00;32.00;31.00;1.00;26.00;140.00;C#;Major;56.00;48.00;73.00;0.00;0.00;35.00;4.00
Enchanted (Taylor's Version);Taylor Swift;1.00;2023.00;7.00;7.00;148.00;24.00;39578178.00;32.00;93.00;8.00;2.00;5.00;82.00;G#;Major;51.00;22.00;53.00;1.00;0.00;15.00;3.00
BABY HELLO;Rauw Alejandro, Bizarrap;2.00;2023.00;6.00;23.00;1004.00;35.00;54266102.00;42.00;80.00;58.00;3.00;169.00;130.00;C#;Minor;77.00;84.00;89.00;17.00;0.00;43.00;5.00
Heat Waves;Glass Animals;1.00;2020.00;6.00;28.00;22543.00;63.00;2557975762.00;386.00;144.00;707.00;28.00;0.00;81.00;B;Major;76.00;53.00;53.00;44.00;0.00;9.00;9.00
golden hour;JVKE;1.00;2022.00;7.00;15.00;4511.00;36.00;751134527.00;70.00;58.00;109.00;18.00;230.00;94.00;C#;Minor;51.00;14.00;59.00;65.00;18.00;25.00;3.00
Sweater Weather;The Neighbourhood;1.00;2012.00;5.00;14.00;16413.00;61.00;2282771485.00;166.00;87.00;1056.00;1.00;0.00;124.00;A#;Major;61.00;41.00;81.00;5.00;2.00;10.00;3.00
Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;2.00;2022.00;7.00;6.00;8506.00;45.00;1356565093.00;94.00;65.00;164.00;14.00;176.00;128.00;D;Major;62.00;55.00;78.00;1.00;3.00;23.00;4.00
Viva La Vida;Coldplay;1.00;2008.00;1.00;1.00;33898.00;62.00;1592909789.00;233.00;0.00;4095.00;9.00;0.00;138.00;F;Minor;49.00;42.00;62.00;9.00;0.00;11.00;3.00
Here With Me;d4vd;1.00;2022.00;7.00;17.00;3246.00;23.00;635412045.00;94.00;85.00;68.00;1.00;84.00;132.00;E;Major;58.00;27.00;48.00;50.00;0.00;12.00;3.00
Unholy (feat. Kim Petras);Sam Smith, Kim Petras;2.00;2022.00;9.00;22.00;8576.00;42.00;1230675890.00;216.00;108.00;331.00;26.00;154.00;131.00;D;Major;71.00;24.00;47.00;1.00;0.00;27.00;9.00
Yandel 150;Yandel, Feid;2.00;2022.00;12.00;20.00;3618.00;38.00;585695368.00;47.00;74.00;80.00;14.00;194.00;168.00;F#;Minor;78.00;58.00;73.00;5.00;0.00;10.00;7.00
CORAZï¿½ï¿½N VA;Maria Becerra;1.00;2023.00;6.00;22.00;370.00;20.00;43857627.00;12.00;16.00;18.00;4.00;93.00;98.00;C#;Major;68.00;40.00;79.00;33.00;0.00;30.00;6.00
Riptide;Vance Joy;1.00;1975.00;1.00;1.00;31123.00;55.00;2009094673.00;300.00;65.00;1003.00;1.00;0.00;102.00;C#;Major;48.00;50.00;73.00;43.00;0.00;15.00;4.00
Until I Found You (with Em Beihold) - Em Beihold Version;Em Beihold, Stephen Sanchez;2.00;2022.00;4.00;22.00;2790.00;30.00;600976848.00;60.00;96.00;71.00;0.00;115.00;101.00;A#;Major;34.00;32.00;57.00;78.00;0.00;20.00;3.00
Novidade na ï¿½ï¿;Mc Livinho, DJ Matt D;2.00;2023.00;6.00;23.00;267.00;9.00;39709092.00;9.00;6.00;25.00;2.00;72.00;130.00;F;Major;63.00;36.00;34.00;76.00;0.00;35.00;9.00
Back To December (Taylor's Version);Taylor Swift;1.00;2023.00;7.00;7.00;139.00;17.00;39228929.00;16.00;72.00;5.00;0.00;8.00;142.00;D;Major;50.00;20.00;64.00;1.00;0.00;12.00;3.00
STAY (with Justin Bieber);Justin Bieber, The Kid Laroi;2.00;2021.00;7.00;9.00;17050.00;36.00;2665343922.00;492.00;99.00;798.00;31.00;0.00;170.00;C#;Major;59.00;48.00;76.00;4.00;0.00;10.00;5.00
El Merengue;Marshmello, Manuel Turizo;2.00;2023.00;3.00;3.00;2114.00;44.00;223633238.00;80.00;75.00;110.00;11.00;323.00;124.00;G#;Minor;78.00;70.00;68.00;3.00;1.00;11.00;4.00
Someone You Loved;Lewis Capaldi;1.00;2018.00;11.00;8.00;17836.00;53.00;2887241814.00;440.00;125.00;1800.00;0.00;0.00;110.00;C#;Major;50.00;45.00;41.00;75.00;0.00;11.00;3.00
Me Porto Bonito;Chencho Corleone, Bad Bunny;2.00;2022.00;5.00;6.00;8870.00;43.00;1440757818.00;104.00;120.00;141.00;26.00;49.00;92.00;C#;Minor;91.00;43.00;71.00;9.00;0.00;9.00;8.00
Makeba;Jain;1.00;2015.00;6.00;22.00;6060.00;53.00;165484133.00;150.00;148.00;2703.00;22.00;1451.00;116.00;D;Major;82.00;40.00;66.00;39.00;51.00;25.00;7.00
MONTAGEM - FR PUNK;Ayparia, unxbected;2.00;2012.00;6.00;20.00;641.00;50.00;58054811.00;1.00;52.00;8.00;0.00;1170.00;129.00;A;Major;63.00;84.00;82.00;70.00;8.00;9.00;7.00
Fast Car;Luke Combs;1.00;2023.00;3.00;24.00;1446.00;12.00;157058870.00;57.00;97.00;35.00;0.00;429.00;98.00;G#;Major;71.00;67.00;60.00;19.00;0.00;12.00;3.00
What It Is (Solo Version);Doechii;1.00;2023.00;3.00;17.00;804.00;25.00;95131998.00;29.00;76.00;24.00;0.00;162.00;172.00;C#;Minor;74.00;76.00;76.00;6.00;0.00;10.00;9.00
Coco Chanel;Bad Bunny, Eladio Carrion;2.00;2023.00;3.00;17.00;1962.00;38.00;250305248.00;28.00;89.00;29.00;5.00;82.00;150.00;D;Major;68.00;14.00;76.00;4.00;0.00;10.00;4.00
Donï¿½ï¿½ï¿½t Bl;Taylor Swift;1.00;2017.00;11.00;8.00;4875.00;23.00;685032533.00;19.00;45.00;0.00;0.00;10.00;136.00;A;Minor;62.00;19.00;53.00;11.00;0.00;6.00;4.00
Still With You;Jung Kook;1.00;2020.00;6.00;5.00;31.00;39.00;38411956.00;2.00;107.00;8.00;0.00;0.00;88.00;C#;Minor;53.00;34.00;47.00;9.00;0.00;83.00;4.00
All My Life (feat. J. Cole);J. Cole, Lil Durk;2.00;2023.00;5.00;12.00;2175.00;23.00;144565150.00;69.00;145.00;69.00;2.00;478.00;143.00;D#;Major;83.00;69.00;44.00;15.00;0.00;10.00;33.00
Say Yes To Heaven;Lana Del Rey;1.00;2023.00;3.00;17.00;2000.00;46.00;127567540.00;49.00;105.00;63.00;1.00;0.00;100.00;F#;Minor;49.00;17.00;35.00;71.00;9.00;11.00;3.00
Snooze;SZA;1.00;2022.00;12.00;9.00;2839.00;25.00;399686758.00;58.00;156.00;42.00;1.00;236.00;143.00;F;Major;56.00;39.00;55.00;14.00;0.00;11.00;13.00
Summertime Sadness;Lana Del Rey;1.00;2011.00;1.00;1.00;20333.00;52.00;983637508.00;89.00;143.00;1632.00;3.00;200.00;112.00;C#;Minor;56.00;24.00;66.00;7.00;0.00;12.00;3.00
Take Two;BTS;1.00;2023.00;6.00;9.00;674.00;47.00;118482347.00;20.00;106.00;25.00;4.00;78.00;93.00;G;Major;62.00;57.00;59.00;3.00;0.00;38.00;3.00
Lover;Taylor Swift;1.00;2012.00;1.00;1.00;8448.00;23.00;882831184.00;160.00;110.00;163.00;0.00;5.00;206.00;G;Major;43.00;50.00;55.00;50.00;0.00;15.00;10.00
Too Many Nights (feat. Don Toliver & with Future);Future, Metro Boomin, Don Toliver;3.00;2022.00;12.00;2.00;2110.00;58.00;286400165.00;17.00;119.00;19.00;2.00;266.00;88.00;G;Minor;68.00;17.00;71.00;15.00;0.00;11.00;5.00
Chemical;Post Malone;1.00;2023.00;4.00;14.00;2528.00;39.00;172825906.00;56.00;91.00;59.00;3.00;486.00;170.00;D;Major;50.00;37.00;90.00;0.00;0.00;12.00;5.00
Mockingbird;Eminem;1.00;2004.00;1.00;1.00;12985.00;61.00;1241559043.00;49.00;98.00;2394.00;5.00;204.00;84.00;E;Minor;62.00;24.00;67.00;21.00;0.00;13.00;28.00
New Jeans;NewJeans;1.00;2023.00;7.00;7.00;77.00;35.00;29562220.00;8.00;166.00;4.00;4.00;34.00;134.00;E;Minor;81.00;53.00;72.00;51.00;0.00;12.00;5.00
Primera Cita;Carin Leon;1.00;2022.00;4.00;20.00;266.00;27.00;77309611.00;6.00;40.00;6.00;6.00;202.00;158.00;A#;Major;54.00;50.00;40.00;61.00;0.00;10.00;6.00
Cold Heart - PNAU Remix;Dua Lipa, Elton John, Pnau;3.00;2017.00;11.00;10.00;21097.00;52.00;1605224506.00;384.00;135.00;1034.00;37.00;312.00;116.00;C#;Major;80.00;92.00;80.00;4.00;0.00;10.00;3.00
Dandelions;Ruth B.;1.00;2017.00;4.00;28.00;3423.00;21.00;1116995633.00;41.00;100.00;59.00;1.00;32.00;117.00;C#;Major;61.00;45.00;69.00;2.00;0.00;9.00;3.00
Bones;Imagine Dragons;1.00;2021.00;3.00;11.00;4198.00;44.00;838079900.00;98.00;108.00;327.00;17.00;153.00;114.00;F;Minor;77.00;65.00;72.00;2.00;0.00;7.00;5.00
Set Fire to the Rain;Adele;1.00;2011.00;1.00;1.00;14739.00;43.00;1163620694.00;88.00;112.00;2163.00;5.00;519.00;108.00;D;Minor;61.00;47.00;68.00;0.00;0.00;13.00;3.00
Money Trees;Kendrick Lamar, Jay Rock;2.00;2012.00;1.00;1.00;26792.00;32.00;1093605526.00;69.00;113.00;695.00;0.00;458.00;144.00;E;Minor;74.00;37.00;53.00;7.00;0.00;21.00;10.00
Tak Segampang Itu;Anggi Marito;1.00;2022.00;12.00;2.00;213.00;6.00;179659294.00;7.00;6.00;0.00;0.00;48.00;130.00;F;Major;51.00;18.00;44.00;76.00;0.00;11.00;3.00
LAGUNAS;Jasiel Nuï¿½ï¿½ez, Peso P;2.00;2023.00;6.00;22.00;58.00;18.00;39058561.00;2.00;106.00;4.00;2.00;184.00;116.00;B;Major;77.00;79.00;62.00;33.00;1.00;15.00;3.00
Mine (Taylor's Version);Taylor Swift;1.00;2023.00;7.00;7.00;99.00;15.00;36912123.00;21.00;52.00;6.00;1.00;0.00;121.00;G;Major;65.00;49.00;78.00;0.00;0.00;17.00;4.00
Everybody Wants To Rule The World;Tears For Fears;1.00;1985.00;2.00;17.00;41751.00;25.00;1205951614.00;101.00;32.00;2655.00;0.00;666.00;112.00;G;Major;64.00;54.00;81.00;36.00;0.00;11.00;6.00
No Role Modelz;J. Cole;1.00;2014.00;12.00;9.00;21164.00;36.00;1791000570.00;80.00;65.00;476.00;0.00;14.00;100.00;A#;Minor;70.00;47.00;52.00;30.00;0.00;6.00;33.00
Tattoo;Loreen;1.00;2023.00;2.00;25.00;2988.00;59.00;201660859.00;74.00;102.00;145.00;18.00;925.00;150.00;D#;Minor;55.00;30.00;78.00;24.00;0.00;12.00;8.00
Rara Vez;Taiu, Milo j;2.00;2023.00;2.00;8.00;893.00;38.00;248088961.00;19.00;23.00;24.00;3.00;88.00;120.00;F;Minor;84.00;96.00;71.00;18.00;0.00;34.00;17.00
VAGABUNDO;Sebastian Yatra, Manuel Turizo, Beï¿½ï;3.00;2023.00;5.00;12.00;1094.00;34.00;90839753.00;40.00;58.00;47.00;8.00;203.00;127.00;B;Minor;82.00;89.00;85.00;4.00;0.00;23.00;6.00
august;Taylor Swift;1.00;2020.00;7.00;24.00;7324.00;22.00;607123776.00;25.00;81.00;61.00;1.00;44.00;90.00;F;Major;51.00;42.00;61.00;53.00;0.00;9.00;3.00
LUNA;Junior H, Peso Pluma;2.00;2023.00;6.00;22.00;201.00;11.00;55842345.00;19.00;117.00;8.00;1.00;74.00;128.00;A;Minor;75.00;79.00;63.00;33.00;0.00;15.00;4.00
Miracle (with Ellie Goulding);Calvin Harris, Ellie Goulding;2.00;2023.00;3.00;10.00;5120.00;48.00;211050784.00;161.00;115.00;246.00;9.00;638.00;143.00;A;Major;64.00;31.00;87.00;4.00;4.00;8.00;4.00
Nonsense;Sabrina Carpenter;1.00;2022.00;7.00;15.00;2346.00;27.00;342897938.00;69.00;12.00;38.00;8.00;64.00;139.00;G#;Major;74.00;68.00;68.00;3.00;0.00;26.00;4.00
